source,query,title,authors,year,doi,venue,url,relevance_score,notes
crossref,robot sim to real adaptation,sim-to-real surgical robot learning and autonomous planning for internal tissue points manipulation using reinforcement learning,Ou; Tavakoli,2023,10.1109/lra.2023.3254860,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2023.3254860,5,
crossref,robot sim to real adaptation,sim-to-real transfer of environment-constrained visuomotor policy with pixel-level adversarial domain adaptation,Jing; Qian; Duan; Zhou,2023,10.2139/ssrn.4531789,,https://doi.org/10.2139/ssrn.4531789,5,
crossref,robot sim to real adaptation,sim-to-real via latent prediction: transferring visual non-prehensile manipulation policies,Rizzardo; Chen; Caldwell,2023,10.3389/frobt.2022.1067502,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2022.1067502,5,
crossref,robot sim to real adaptation,embedded image-to-image translation for efficient sim-to-real transfer in learning-based robot-assisted soft manipulation,Colan; Sugita; Davila; Yamada; Hasegawa,2024,10.1109/mhs63891.2024.10856291,2024 International Symposium on Micro-NanoMehatronics and Human Science (MHS),https://doi.org/10.1109/mhs63891.2024.10856291,5,
crossref,robot sim to real adaptation,on the role of the action space in robot manipulation learning and sim-to-real transfer,Aljalbout; Frank; Karl; van der Smagt,2024,10.1109/lra.2024.3398428,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2024.3398428,5,
crossref,robot sim to real adaptation,on the role of the action space in robot manipulation learning and sim-to-real transfer_supp1-3398428.mp4,Aljalbout,2024,10.1109/lra.2024.3398428/mm1,,https://doi.org/10.1109/lra.2024.3398428/mm1,5,
crossref,robot sim to real adaptation,ra3t: an innovative region-aligned 3d transformer for self-supervised sim-to-real adaptation in low-altitude uav vision,Ma; Xie; Shao; Yao; Dong,2025,10.3390/electronics14142797,Electronics,https://doi.org/10.3390/electronics14142797,5,
crossref,robot sim to real adaptation,real-to-sim high-resolution cloth modeling: physical parameter optimization using particle-based simulation with robot manipulation data,Yoon; Lim,2025,10.2139/ssrn.5109969,,https://doi.org/10.2139/ssrn.5109969,5,
crossref,robot sim to real adaptation,"watch less, feel more: sim-to-real rl for generalizable articulated object manipulation via motion adaptation and impedance control",Do; Gireesh; Wang; Wang,2025,10.1109/icra55743.2025.11128365,2025 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra55743.2025.11128365,5,
crossref,robot sim to real adaptation,adr-pnas: a novel sim-to-real transfer approach for robotic manipulation tasks,Nong,2026,10.1109/tro.2025.3644950,IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2025.3644950,5,
crossref,robot forgetting continual learning,dynamic neuroplastic networks for financial decision making: a self-adaptive approach for mitigating catastrophic forgetting in continual learning,Rahaman,2026,10.1007/s10614-025-11057-1,Computational Economics,https://doi.org/10.1007/s10614-025-11057-1,5,
crossref,robot self calibration manipulation,free-view robot manipulation: visuomotor policy by calibration diffusion,Jin; Song; Zhou; Zeng; Jing; Lu,2026,10.2139/ssrn.6379322,,https://doi.org/10.2139/ssrn.6379322,5,
crossref,robot sim to real adaptation,human-guided online reward adaptation for real-robot arm manipulation,Zhou; Ao; Lu; Chen; Zhou; Cui,2026,10.1109/lra.2026.3699150,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2026.3699150,5,
arxiv,,self-adapting robotic agents through online continual reinforcement learning with world model feedback,Fabian Domberg; Georg Schildbach,2026,,arXiv,http://arxiv.org/abs/2603.04029v1,5,
crossref,world model robot adaptation,a model for self-adaptation in a robot colony,Kumar; Parameswaran,1986,10.1145/12808.12846,Proceedings of the ACM SIGART international symposium on Methodologies for intelligent systems,https://doi.org/10.1145/12808.12846,4,
crossref,robot fault recovery manipulation,simplified grasping and manipulation with dextrous robot hands,Fearing,1986,10.1109/jra.1986.1087063,IEEE Journal on Robotics and Automation,https://doi.org/10.1109/jra.1986.1087063,4,
crossref,robot self calibration manipulation,concepts of manipulation robot control,Vukobratović; Stokić,1989,10.1007/978-3-642-83869-9_1,Applied Control of Manipulation Robots,https://doi.org/10.1007/978-3-642-83869-9_1,4,
crossref,robot calibration drift,real-time automatic calibration method of pmt drift,Liu,1990,10.1117/12.2294715,International Conference on Optoelectronic Science and Engineering '90,https://doi.org/10.1117/12.2294715,4,
crossref,robot self calibration manipulation,calibration and accuracy of manipulation robot models—an overview,Karan; Vukobratović,1994,10.1016/0094-114x(94)90130-9,Mechanism and Machine Theory,https://doi.org/10.1016/0094-114x(94)90130-9,4,
crossref,robot self calibration manipulation,a self-calibration technique for active vision systems,Sang De Ma,1996,10.1109/70.481755,IEEE Transactions on Robotics and Automation,https://doi.org/10.1109/70.481755,4,
crossref,robot self calibration manipulation,self-calibration of a space robot,de Angulo; Torras,1997,10.1109/72.595895,IEEE Transactions on Neural Networks,https://doi.org/10.1109/72.595895,4,
crossref,robot self calibration manipulation,self-calibration of parallel mechanisms with a case study on stewart platforms,Hanqi Zhuang,1997,10.1109/70.585901,IEEE Transactions on Robotics and Automation,https://doi.org/10.1109/70.585901,4,
crossref,robot self calibration manipulation,active self-calibration of hand-mounted laser range finders,Guo-Qing Wei; Hirzinger,1998,10.1109/70.678458,IEEE Transactions on Robotics and Automation,https://doi.org/10.1109/70.678458,4,
crossref,robot continual learning manipulation,learning dextrous manipulation skills for multifingered robot hands using the evolution strategy,Fuentes; Nelson,1998,10.1023/a:1007409228154,Machine Learning,https://doi.org/10.1023/a:1007409228154,4,
crossref,robot self calibration manipulation,self calibration of stewart-gough parallel robots without extra sensors,Khalil; Besnard,1999,10.1109/70.817674,IEEE Transactions on Robotics and Automation,https://doi.org/10.1109/70.817674,4,
crossref,continual robot learning,lifelong adaptation in heterogeneous multi-robot teams: response to continual variation in individual robot performance,Parker,2000,10.1023/a:1008977508664,Autonomous Robots,https://doi.org/10.1023/a:1008977508664,4,
crossref,robot self calibration manipulation,toward self-calibration of a stereo rig from noisy stereoscopic images,Larabi,2001,10.1007/3-540-44690-7_8,Lecture Notes in Computer Science,https://doi.org/10.1007/3-540-44690-7_8,4,
crossref,world model robot adaptation,kinematic localization for world model calibration in off-line robot programming using clifford algebra,Ravani; Ge,2002,10.1109/robot.1991.131644,Proceedings. 1991 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/robot.1991.131644,4,
crossref,robot self calibration manipulation,planning and control of self-calibrated manipulation for a robot on a mobile platform,Di Xiao; Ghosh; Ning Xi; Tzyh-Jong Tarn,2002,10.1109/robot.1997.614334,Proceedings of International Conference on Robotics and Automation,https://doi.org/10.1109/robot.1997.614334,4,
crossref,robot self calibration manipulation,using a scale: self-calibration of a robot system with a factor method,Hanqi Zhuang; Yan Meng,2002,10.1109/robot.2001.933046,Proceedings 2001 ICRA. IEEE International Conference on Robotics and Automation (Cat. No.01CH37164),https://doi.org/10.1109/robot.2001.933046,4,
crossref,robot sim to real adaptation,real-time adaptation technique to real robots: an experiment with a humanoid robot,Kamio; Iba,2003,10.1109/cec.2003.1299618,"The 2003 Congress on Evolutionary Computation, 2003. CEC '03.",https://doi.org/10.1109/cec.2003.1299618,4,
crossref,world model robot adaptation,self-adaptation of the symbolic world model of a mobile robot: an evolution-based approach,GALINDO; FERNANDEZ-MADRIGAL; GONZALEZ,2004,10.1142/9789812702661_0081,Applied Computational Intelligence,https://doi.org/10.1142/9789812702661_0081,4,
crossref,robot self calibration manipulation,self-calibration of a rotating camera with a translational offset,Ji; Dai,2004,10.1109/tra.2003.820921,IEEE Transactions on Robotics and Automation,https://doi.org/10.1109/tra.2003.820921,4,
crossref,robot policy drift,maintenance and drift of attention in human-robot communication,,2005,10.5220/0001194800150022,Proceedings of the 1st International Workshop on Multi-Agent Robotic Systems,https://doi.org/10.5220/0001194800150022,4,
crossref,robot self calibration manipulation,self-calibration in robot manipulators,Mukerjee; Ballard,2005,10.1109/robot.1985.1087281,Proceedings. 1985 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/robot.1985.1087281,4,
crossref,robot fault recovery manipulation,adaptive causal models for fault diagnosis and recovery in multi-robot teams,Parker; Kannan,2006,10.1109/iros.2006.281993,2006 IEEE/RSJ International Conference on Intelligent Robots and Systems,https://doi.org/10.1109/iros.2006.281993,4,
crossref,robot self calibration manipulation,automatic self-calibration of a vision system during robot motion,Martinelli; Scaramuzza; Siegwart,2006,10.1109/robot.2006.1641159,"Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006.",https://doi.org/10.1109/robot.2006.1641159,4,
crossref,robot sim to real adaptation,design and analysis of a framework for real-time vision-based slam using rao-blackwellised particle filters,Sim; Elinas; Griffin; Shyr; Little,2006,10.1109/crv.2006.25,The 3rd Canadian Conference on Computer and Robot Vision (CRV'06),https://doi.org/10.1109/crv.2006.25,4,
crossref,robot self calibration manipulation,designing a self-stabilizing robot for dynamic mobile manipulation,Deegan; Thibodeau; Grupen,2006,10.21236/ada459932,,https://doi.org/10.21236/ada459932,4,
crossref,robot self calibration manipulation,self-calibration: new method and comparisons,WU; SHEN; DAI,2006,10.1142/s0219843606000692,International Journal of Humanoid Robotics,https://doi.org/10.1142/s0219843606000692,4,
crossref,robot self calibration manipulation,self-calibration and error compensation of flexible coordinate measuring robot,Wanli; Xinghu; Yonggang,2007,10.1109/icma.2007.4303947,2007 International Conference on Mechatronics and Automation,https://doi.org/10.1109/icma.2007.4303947,4,
crossref,robot fault recovery manipulation,supervisory fault adaptive control of a mobile robot and its application in sensor-fault accommodation,Ji; Sarkar,2007,10.1109/tro.2006.889481,IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2006.889481,4,
crossref,robot self calibration manipulation,calibration of robot reference frames for enhanced robot positioning accuracy,Shaopeng,2008,10.5772/6200,Robot Manipulators,https://doi.org/10.5772/6200,4,
crossref,robot self calibration manipulation,camera self-calibration and three dimensional reconstruction under quasi-perspective projection,Wang; Wu; Zhang,2008,10.1109/crv.2008.19,2008 Canadian Conference on Computer and Robot Vision,https://doi.org/10.1109/crv.2008.19,4,
crossref,robot self calibration manipulation,camera self-calibration under the constraint of distant plane,Wang; Wu; Zhang,2008,10.1007/978-3-540-78157-8_14,Lecture Notes in Computer Science,https://doi.org/10.1007/978-3-540-78157-8_14,4,
crossref,robot fault recovery manipulation,early fault self-recovery model and fault self-recovery methods on aircraft,Wang Zhongsheng; Li Ming,2008,10.1109/ccdc.2008.4597358,2008 Chinese Control and Decision Conference,https://doi.org/10.1109/ccdc.2008.4597358,4,
crossref,robot self calibration manipulation,automatic high-precision self-calibration of camera-robot systems,Jordt; Siebel; Sommer,2009,10.1109/robot.2009.5152570,2009 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/robot.2009.5152570,4,
crossref,robot self calibration manipulation,nims-pl: a cable-driven robot with self-calibration capabilities,Borgstrom; Jordan; Borgstrom; Stealey; Sukhatme; Batalin,2009,10.1109/tro.2009.2024792,IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2009.2024792,4,
crossref,robot self calibration manipulation,online calibration of one-dimensional sensors for robot manipulation tasks,,2009,10.5220/0002181803870395,"Proceedings of the 6th International Conference on Informatics in Control, Automation and Robotics",https://doi.org/10.5220/0002181803870395,4,
crossref,world model robot adaptation,towards self-adaptation of robot organisms with a high developmental plasticity,Kernbach; Levi; Meister; Schlachter; Kernbach,2009,10.1109/computationworld.2009.11,"2009 Computation World: Future Computing, Service Computation, Cognitive, Adaptive, Content, Patterns",https://doi.org/10.1109/computationworld.2009.11,4,
crossref,robot self calibration manipulation,automated camera calibration for robot soccer,G; Sen,2010,10.5772/7341,Robot Soccer,https://doi.org/10.5772/7341,4,
crossref,robot self calibration manipulation,cell manipulation system based on a silicon micro force sensor with self-calibration from backside,Beutel; Ferreira; Balck; Leester-Scha; Bu,2010,10.1109/icsens.2010.5690506,2010 IEEE Sensors,https://doi.org/10.1109/icsens.2010.5690506,4,
crossref,robot adaptability physical drift,experimental research on self-adaptability of tri-axis differential in-pipe robot drive unit,GAO; JIANG; REN; JIANG; CHEN; LUO,2010,10.3724/sp.j.1218.2010.00419,ROBOT,https://doi.org/10.3724/sp.j.1218.2010.00419,4,
crossref,robot self calibration manipulation,kinematic calibration of articulated arm coordinate measuring machines and robot arms using passive and active self-centering probes and multipose optimization algorithm based in point and length constrains,Santolaria; Jose,2010,10.5772/9345,Robot Manipulators New Achievements,https://doi.org/10.5772/9345,4,
crossref,robot self calibration manipulation,mfr (multi-purpose field robot) based on human-robot cooperative manipulation for handling building materials,Lee,2010,10.5772/9339,Robot Manipulators New Achievements,https://doi.org/10.5772/9339,4,
crossref,robot self calibration manipulation,towards automated self-calibration of robot skin,Cannata; Denei; Mastrogiovanni,2010,10.1109/robot.2010.5509370,2010 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/robot.2010.5509370,4,
crossref,robot self calibration manipulation,a camera-imu relative pose calibration method,YANG; ZHANG; YE,2011,10.3724/sp.j.1218.2011.00419,ROBOT,https://doi.org/10.3724/sp.j.1218.2011.00419,4,
crossref,robot fault recovery manipulation,multi-robot manipulation and maintenance for fault-tolerant systems,Hoshino; Seki; Ota,2011,10.1109/icra.2011.5979571,2011 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/icra.2011.5979571,4,
crossref,robot self calibration manipulation,online calibration of visual measurement system based on industrial robot,WANG; LIU; YANG; YE,2011,10.3724/sp.j.1218.2011.00299,ROBOT,https://doi.org/10.3724/sp.j.1218.2011.00299,4,
crossref,robot self calibration manipulation,self-calibration for a welding robot based on kinematics and matlab software,Lu Dunmin; Tian Ye; Gao Daoxiang; Xiao Aiping,2011,10.1109/csae.2011.5952769,2011 IEEE International Conference on Computer Science and Automation Engineering,https://doi.org/10.1109/csae.2011.5952769,4,
crossref,robot self calibration manipulation,improving hand-eye calibration for robotic grasping and manipulation,Axelrod; Huang,2012,10.1109/tepra.2012.6215665,2012 IEEE International Conference on Technologies for Practical Robot Applications (TePRA),https://doi.org/10.1109/tepra.2012.6215665,4,
crossref,robot self calibration manipulation,self-calibration of redundantly actuated pkm based on motion reversal points,Müller; Ruggiu,2012,10.1007/978-94-007-4620-6_10,Latest Advances in Robot Kinematics,https://doi.org/10.1007/978-94-007-4620-6_10,4,
crossref,robot self calibration manipulation,standing self-manipulation for a legged robot,Johnson; Haynes; Koditschek,2012,10.1109/iros.2012.6386214,2012 IEEE/RSJ International Conference on Intelligent Robots and Systems,https://doi.org/10.1109/iros.2012.6386214,4,
crossref,robot self calibration manipulation,1a1-r11 humanitarian demining robot gryphon : self-calibration using stereo vision camera(robotics for hazardous fields),LI; KANEKO; FUKUSHIMA,2013,10.1299/jsmermd.2013._1a1-r11_1,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),https://doi.org/10.1299/jsmermd.2013._1a1-r11_1,4,
crossref,robot self calibration manipulation,a flexible framework for mobile robot pose estimation and multi-sensor self-calibration,,2013,10.5220/0004484703610368,"Proceedings of the 10th International Conference on Informatics in Control, Automation and Robotics",https://doi.org/10.5220/0004484703610368,4,
crossref,robot self calibration manipulation,a qualitative-probabilistic approach to autonomous mobile robot self localisation and self vision calibration,Pereira; Cozman; Santos; Martins,2013,10.1109/bracis.2013.34,2013 Brazilian Conference on Intelligent Systems,https://doi.org/10.1109/bracis.2013.34,4,
crossref,robot self calibration manipulation,a robot-camera hand/eye self-calibration system using a planar target,Hyungwon Sung; Sukhan Lee; Daesik kim,2013,10.1109/isr.2013.6695609,IEEE ISR 2013,https://doi.org/10.1109/isr.2013.6695609,4,
crossref,robot self calibration manipulation,application of a hand-eye self-calibration technique in robot vision,Wang; Fan; Lu,2013,10.1109/ccdc.2013.6561604,2013 25th Chinese Control and Decision Conference (CCDC),https://doi.org/10.1109/ccdc.2013.6561604,4,
crossref,robot continual learning manipulation,improving object learning through manipulation and robot self-identification,Lyubova; Filliat; Ivaldi,2013,10.1109/robio.2013.6739655,2013 IEEE International Conference on Robotics and Biomimetics (ROBIO),https://doi.org/10.1109/robio.2013.6739655,4,
crossref,robot self calibration manipulation,imu self-calibration using factorization,Hwangbo; Kim; Kanade,2013,10.1109/tro.2012.2230994,IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2012.2230994,4,
crossref,robot self calibration manipulation,self-calibration of eye-to-hand and workspace for mobile service robot,Hu; Chang,2013,10.4018/978-1-4666-4607-0.ch072,Robotics,https://doi.org/10.4018/978-1-4666-4607-0.ch072,4,
crossref,robot self calibration manipulation,self-calibration of pan-tilt camera based on accurate model,ZHENG; LIU,2013,10.3724/sp.j.1218.2013.00326,Robot,https://doi.org/10.3724/sp.j.1218.2013.00326,4,
crossref,dexterous manipulation adaptation,ingredients and a framework of dexterous manipulation skills for robots in human centered environment and hri,Pandey; Alami,2014,10.7210/jrsj.32.347,Journal of the Robotics Society of Japan,https://doi.org/10.7210/jrsj.32.347,4,
crossref,robot online adaptation manipulation,adaptation of manipulation skills in physical contact with the environment to reference force profiles,Abu-Dakka; Nemec; Jørgensen; Savarimuthu; Krüger; Ude,2015,10.1007/s10514-015-9435-2,Autonomous Robots,https://doi.org/10.1007/s10514-015-9435-2,4,
crossref,robot skill aging,simultaneous human-robot adaptation for effective skill transfer,Zamani; Oztop,2015,10.1109/icar.2015.7251437,2015 International Conference on Advanced Robotics (ICAR),https://doi.org/10.1109/icar.2015.7251437,4,
crossref,robot self calibration manipulation,a self-calibration method for robot based on geometric constraints,Shi; Zhang; Liu; Wang; Gao,2016,10.1109/icinfa.2016.7832122,2016 IEEE International Conference on Information and Automation (ICIA),https://doi.org/10.1109/icinfa.2016.7832122,4,
crossref,robot adaptation drift,figure 3: additional examples of emerging prey behaviour adaptation in the grn robot simulations.,,2016,10.7717/peerj.2812/fig-3,,https://doi.org/10.7717/peerj.2812/fig-3,4,
crossref,robot online adaptation manipulation,one-shot learning of manipulation skills with online dynamics adaptation and neural network priors,Fu; Levine; Abbeel,2016,10.1109/iros.2016.7759592,2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/iros.2016.7759592,4,
crossref,robot self calibration manipulation,robot calibration,Arora,2016,10.36288/roscon2016-900772,ROSCon Seoul 2016,https://doi.org/10.36288/roscon2016-900772,4,
crossref,robot self calibration manipulation,use of a force-torque sensor for self-calibration of a 6-dof medical robot,Joubair; Zhao; Bigras; Bonev,2016,10.3390/s16060798,Sensors,https://doi.org/10.3390/s16060798,4,
crossref,policy drift robotics,enabling aggressive motion estimation at low-drift and accurate mapping in real-time,Zhang; Singh,2017,10.1109/icra.2017.7989589,2017 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra.2017.7989589,4,
crossref,robot sim to real adaptation,real-time robot personality adaptation based on reinforcement learning and social signals,Ritschel; André,2017,10.1145/3029798.3038381,Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,https://doi.org/10.1145/3029798.3038381,4,
arxiv,,"a framework for robot manipulation: skill formalism, meta learning and adaptive control",Lars Johannsmeier; Malkin Gerchow; Sami Haddadin,2018,,arXiv,http://arxiv.org/abs/1805.08576v1,4,
crossref,robot self calibration manipulation,accurate 3d-positioning in a sem through robot calibration,Guelpa; Kudryavtsev; Piat; Dembele,2018,10.1109/marss.2018.8481224,"2018 International Conference on Manipulation, Automation and Robotics at Small Scales (MARSS)",https://doi.org/10.1109/marss.2018.8481224,4,
crossref,robot self calibration manipulation,camera calibration techniques,Zhuang; Roth,2018,10.1201/9781315138725-2,Camera-Aided Robot Calibration,https://doi.org/10.1201/9781315138725-2,4,
crossref,robot self calibration manipulation,camera space manipulation of a mobile robot,Yalda-Mooshabad,2018,10.31274/rtd-180813-10302,,https://doi.org/10.31274/rtd-180813-10302,4,
crossref,robot self calibration manipulation,kinematic modeling for robot calibration,Zhuang; Roth,2018,10.1201/9781315138725-3,Camera-Aided Robot Calibration,https://doi.org/10.1201/9781315138725-3,4,
crossref,robot self calibration manipulation,online eye-robot self-calibration,Tanguy; Kheddar; Comport,2018,10.1109/simpar.2018.8376273,"2018 IEEE International Conference on Simulation, Modeling, and Programming for Autonomous Robots (SIMPAR)",https://doi.org/10.1109/simpar.2018.8376273,4,
crossref,robot self calibration manipulation,overview of robot calibration,Zhuang; Roth,2018,10.1201/9781315138725-1,Camera-Aided Robot Calibration,https://doi.org/10.1201/9781315138725-1,4,
crossref,robot self calibration manipulation,robot accuracy compensation,Zhuang; Roth,2018,10.1201/9781315138725-11,Camera-Aided Robot Calibration,https://doi.org/10.1201/9781315138725-11,4,
crossref,robot self calibration manipulation,robot dexterity: from deformable grasping to impulsive manipulation,Lin,2018,10.31274/etd-180810-4537,,https://doi.org/10.31274/etd-180810-4537,4,
crossref,robot self calibration manipulation,robotic base calibration,Zhuang; Roth,2018,10.1201/9781315138725-9,Camera-Aided Robot Calibration,https://doi.org/10.1201/9781315138725-9,4,
crossref,robot self calibration manipulation,robotic hand/eye calibration,Zhuang; Roth,2018,10.1201/9781315138725-8,Camera-Aided Robot Calibration,https://doi.org/10.1201/9781315138725-8,4,
arxiv,,scaling simulation-to-real transfer by learning composable robot skills,Ryan Julian; Eric Heiden; Zhanpeng He; Hejia Zhang; Stefan Schaal; Joseph J. Lim; Gaurav Sukhatme; Karol Hausman,2018,,arXiv,http://arxiv.org/abs/1809.10253v3,4,
crossref,robot self calibration manipulation,selection of robot measurement configurations,Zhuang; Roth,2018,10.1201/9781315138725-12,Camera-Aided Robot Calibration,https://doi.org/10.1201/9781315138725-12,4,
crossref,robot self calibration manipulation,self-calibration of an industrial robot using a novel affordable 3d measuring device,Gaudreault; Joubair; Bonev,2018,10.3390/s18103380,Sensors,https://doi.org/10.3390/s18103380,4,
crossref,robot self calibration manipulation,self-calibration of cable driven continuum robot,Zheng; Yang; Zhang; Wang; Shen; Fang,2018,10.1109/robio.2018.8664763,2018 IEEE International Conference on Robotics and Biomimetics (ROBIO),https://doi.org/10.1109/robio.2018.8664763,4,
crossref,robot calibration drift,simultaneous calibration of robotic base and tool,Zhuang; Roth,2018,10.1201/9781315138725-10,Camera-Aided Robot Calibration,https://doi.org/10.1201/9781315138725-10,4,
crossref,robot self calibration manipulation,automatic single-view monocular camera calibration-based object manipulation using novel dexterous multi-fingered delta robot,Kansal; Mukherjee,2019,10.1007/s00521-017-3221-3,Neural Computing and Applications,https://doi.org/10.1007/s00521-017-3221-3,4,
crossref,robot self calibration manipulation,"contributions to robotic manipulation under uncertainty : calibration, estimation, motion planning",Nguyen,2019,10.32657/10220/48014,,https://doi.org/10.32657/10220/48014,4,
crossref,robot self calibration manipulation,impedance control self-calibration of a collaborative robot using kinematic coupling,Nadeau; Bonev; Joubair,2019,10.3390/robotics8020033,Robotics,https://doi.org/10.3390/robotics8020033,4,
crossref,robot continual learning manipulation,implementation of reinforcement learning simulated madel on physical ugv using robot operating system for continual learning,Perez; Majumdar; Benavidez; Jamshidi,2019,10.1109/sysose.2019.8753801,2019 14th Annual Conference System of Systems Engineering (SoSE),https://doi.org/10.1109/sysose.2019.8753801,4,
crossref,robot self calibration manipulation,self-assessing and communicating manipulation proficiency through active uncertainty characterization,Lee,2019,10.1109/hri.2019.8673083,2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI),https://doi.org/10.1109/hri.2019.8673083,4,
crossref,robot sim to real adaptation,sensor transfer: learning optimal sensor effect image augmentation for sim-to-real domain adaptation,Carlson; Skinner; Vasudevan; Johnson-Roberson,2019,10.1109/lra.2019.2896470,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2019.2896470,4,
crossref,robot sim to real adaptation,sim-to-real via sim-to-sim: data-efficient robotic grasping via randomized-to-canonical adaptation networks,James; Wohlhart; Kalakrishnan; Kalashnikov; Irpan; Ibarz,2019,10.1109/cvpr.2019.01291,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),https://doi.org/10.1109/cvpr.2019.01291,4,
crossref,robot sim to real adaptation,sim-to-real: designing locomotion controller for six-legged robot,Yang; Gao; Tian; Yao,2019,10.1109/cyber46603.2019.9066720,"2019 IEEE 9th Annual International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)",https://doi.org/10.1109/cyber46603.2019.9066720,4,
crossref,robot sim to real adaptation,sim-to-real: six-legged robot control with deep reinforcement learning and curriculum learning,Qin; Gao; Bai,2019,10.1109/icrae48301.2019.9043822,2019 4th International Conference on Robotics and Automation Engineering (ICRAE),https://doi.org/10.1109/icrae48301.2019.9043822,4,
crossref,robot self calibration manipulation,combining self-organizing and graph neural networks for modeling deformable objects in robotic manipulation,Valencia; Payeur,2020,10.3389/frobt.2020.600584,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2020.600584,4,
crossref,robot continual learning manipulation,continual learning for addressing optimization problems with a snake-like robot controlled by a self-organizing model,Chen,2020,10.3390/app10144848,Applied Sciences,https://doi.org/10.3390/app10144848,4,
